19	1	8	4	4	6	3	1	7	8	8
24	2	9	4	8	0	0	0	0	5	0
16	2	10	7	8	10	10	8	8	10	9
32	1	9	3	6	2	3	2	3	5	5
27	2	9	4	7	5	6	5	5	7	7
31	2	9	0	3	0	4	0	1	5	6
25	1	7	9	10	9	9	9	8	5	8
26	1	6	4	1	4	5	4	4	6	6
33	2	9	7	4	3	3	1	1	6	6
32	2	5	3	3	5	7	3	2	5	5
33	2	9	5	7	5	7	5	5	6	5
35	2	8	7	7	5	6	5	5	6	6
34	2	9	6	9	7	8	6	6	8	7
17	2	10	5	9	5	5	5	5	5	5
21	1	6	7	6	7	8	8	7	8	8
22	2	8	6	6	5	7	4	4	6	6
15	1	8	4	6	6	7	5	4	7	7
33	1	5	3	4	3	5	4	4	5	5
18	2	9	3	5	3	4	2	3	6	5
25	1	4	2	5	6	5	5	5	5	5
28	1	10	6	7	5	8	3	6	7	8
19	1	7	3	2	4	3	3	2	7	6
25	1	6	3	3	3	4	3	3	3	3
27	2	8	4	6	4	5	2	2	4	4
26	1	9	3	3	6	7	4	3	7	6
35	1	9	2	1	3	7	1	1	7	3
27	2	8	8	6	9	9	7	7	4	8
21	2	9	6	8	8	9	5	5	10	8
23	2	8	3	3	1	6	1	1	5	5
29	1	4	3	4	5	7	5	4	5	4
32	1	5	3	8	1	1	1	1	1	1
22	2	9	6	7	5	5	3	4	6	6
34	2	5	4	4	4	5	3	4	7	6
15	2	7	4	5	4	5	4	5	5	6
19	2	7	5	6	4	2	4	5	7	7
16	2	7	4	4	6	7	4	5	6	7
31	1	6	1	8	4	10	4	7	9	9
18	1	7	2	7	2	0	1	3	6	6
31	2	9	8	10	9	6	5	8	8	8
32	1	8	5	5	5	5	5	5	5	5
19	1	0	0	0	0	0	0	0	0	0
34	2	10	10	10	1	1	8	8	1	2
26	1	7	4	7	3	5	1	1	6	6
21	1	10	5	6	4	8	4	6	8	7
28	2	9	1	3	2	5	2	2	2	4
29	2	7	0	3	5	8	3	3	3	3
22	1	8	5	6	5	5	6	4	5	5
19	2	10	3	6	6	7	6	6	9	6
16	2	9	4	4	5	5	3	3	4	3
33	1	5	4	8	5	3	3	3	7	5
20	1	5	4	5	7	9	5	4	5	8
19	1	8	5	7	5	6	4	6	7	8
25	1	5	2	4	2	4	4	4	4	3
34	2	5	4	6	4	5	2	2	5	5
18	1	7	5	5	5	5	5	5	5	5
31	2	7	5	5	5	5	5	5	6	6
28	2	10	5	5	3	10	5	5	5	5
31	2	9	4	7	5	6	5	5	5	5
16	2	7	4	5	4	4	3	3	6	6
30	2	8	8	7	2	4	5	5	7	7
31	2	4	1	3	5	5	0	3	9	8
18	1	9	5	7	5	5	4	5	9	7
17	2	5	4	5	6	10	7	5	8	7
23	2	7	0	0	2	2	1	4	3	7
17	1	7	6	7	6	6	6	6	6	6
15	2	7	6	7	7	8	8	8	7	7
33	2	7	5	4	5	8	2	3	5	5
32	2	8	4	4	3	3	3	3	6	3
24	1	5	0	0	1	9	1	1	1	1
